Log_ID,Server_ID,Server_Cluster_x,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Station,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster_y,Admin_Email,Admin_Phone,Date,Hour,DayOfWeek,Month,Year,CPU_Status,Memory_Status,Disk_Status,System_Health_Score,System_Health_Status
Station1_LOG00001,SRV001,CL-8,2025-08-02 23:30:00,94.63,81.3,44.1,1.67,21.79,506.74,2.77,Station1,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405,2025-08-02,23,Saturday,8,2025,High,High,Low,26.656666666666666,Poor
Station1_LOG00002,SRV005,CL-3,2025-08-01 03:12:00,34.98,45.56,58.36,29.42,12.875,157.97,0.23,Station1,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,3,Friday,8,2025,Low,Low,Medium,53.70000000000001,Fair
Station1_LOG00003,SRV001,CL-8,2025-08-01 01:33:00,37.41,73.65,74.51,2.79,18.88,606.27,5.85,Station1,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405,2025-08-01,1,Friday,8,2025,Low,Medium,Medium,38.14333333333334,Poor
Station1_LOG00004,SRV091,CL-2,2025-08-02 12:56:00,86.86,60.65,23.75,22.67,21.24,893.06,3.84,Station1,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,12,Saturday,8,2025,High,Medium,Low,42.913333333333334,Fair
Station1_LOG00005,SRV089,CL-1,2025-08-02 02:50:00,91.59,62.23,50.36,11.64,19.67,198.31,0.22,Station1,host-089,10.0.225.14,Windows,Frankfurt,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,2,Saturday,8,2025,High,Medium,Medium,31.939999999999998,Poor
Station1_LOG00006,SRV073,CL-3,2025-08-01 02:28:00,10.54,33.59,6.86,29.15,13.44,256.34,3.31,Station1,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,2025-08-01,2,Friday,8,2025,Low,Low,Low,83.00333333333333,Excellent
Station1_LOG00007,SRV094,CL-8,2025-08-01 08:01:00,20.89,55.575,60.62,1.49,5.67,526.82,6.69,Station1,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213,2025-08-01,8,Friday,8,2025,Low,Medium,Medium,54.305,Fair
Station1_LOG00008,SRV050,CL-1,2025-08-01 02:40:00,84.23,89.37,36.12,19.17,14.16,974.54,9.05,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,2,Friday,8,2025,High,High,Low,30.09333333333332,Poor
Station1_LOG00009,SRV013,CL-2,2025-08-01 23:07:00,56.07,57.99,21.22,29.09,10.51,301.21,2.17,Station1,host-013,10.0.95.98,Linux,New York,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,23,Friday,8,2025,Medium,Medium,Low,54.906666666666666,Fair
Station1_LOG00010,SRV097,CL-3,2025-08-02 00:58:00,12.49,58.19,62.17,24.73,20.72,165.45,9.32,Station1,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,0,Saturday,8,2025,Low,Medium,Medium,55.71666666666667,Fair
Station1_LOG00011,SRV063,CL-10,2025-08-01 18:18:00,83.89,56.5,63.52,13.31,1.49,203.94,5.71,Station1,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,18,Friday,8,2025,High,Medium,Medium,32.03,Poor
Station1_LOG00012,SRV011,CL-7,2025-08-02 05:24:00,65.37,69.4,12.46,23.36,10.03,284.25,0.21,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,5,Saturday,8,2025,Medium,Medium,Low,50.923333333333325,Fair
Station1_LOG00013,SRV071,CL-2,2025-08-02 03:14:00,33.95,42.02,68.23,23.66,20.48,830.93,3.9,Station1,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,3,Saturday,8,2025,Low,Low,Medium,51.93333333333334,Fair
Station1_LOG00014,SRV054,CL-9,2025-08-01 18:08:00,29.93,65.16,39.43,27.89,21.67,599.71,5.17,Station1,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167,2025-08-01,18,Friday,8,2025,Low,Medium,Low,55.16,Fair
